appearance_id,book_id,book_slug,title,authors,publication_year,award_id,award_program,award_category,award_year,status,original_status,is_tie,primary_subject,publisher,imprint,isbn13,source_url,source_confidence
appearance-le-roman-des-rouart-david-haziot-goncourt-prize-for-biography-2012-winner,book-le-roman-des-rouart-david-haziot,le-roman-des-rouart-david-haziot,Le Roman des Rouart,David Haziot,,award-goncourt-prize-for-biography,Goncourt Prize for Biography,Biography,2012,winner,winner,false,Biography,,,,https://fr.wikipedia.org/wiki/Prix_Goncourt_de_la_biographie,secondary
appearance-a-thousand-farewells-a-reporter-s-journey-from-refugee-camp-to-the-arab-spring-nahlah-ayed-governor-general-s-literary-awards-english-language-non-fiction-2012-finalist,book-a-thousand-farewells-a-reporter-s-journey-from-refugee-camp-to-the-arab-spring-nahlah-ayed,a-thousand-farewells-a-reporter-s-journey-from-refugee-camp-to-the-arab-spring-nahlah-ayed,A Thousand Farewells: A Reporter's Journey from Refugee Camp to the Arab Spring,Nahlah Ayed,2012,award-governor-general-s-literary-awards-english-language-non-fiction,Governor General's Literary Awards,English-language Non-fiction,2012,finalist,finalist,false,Journalism & Reportage,Penguin Random House,Viking,9780670069095,https://en.wikipedia.org/wiki/Governor_General%27s_Award_for_English-language_non-fiction,secondary
appearance-into-the-silence-the-great-war-mallory-and-the-conquest-of-everest-wade-davis-governor-general-s-literary-awards-english-language-non-fiction-2012-finalist,book-into-the-silence-the-great-war-mallory-and-the-conquest-of-everest-wade-davis,into-the-silence-the-great-war-mallory-and-the-conquest-of-everest-wade-davis,"Into the Silence: The Great War, Mallory and the Conquest of Everest",Wade Davis,2012,award-governor-general-s-literary-awards-english-language-non-fiction,Governor General's Literary Awards,English-language Non-fiction,2012,finalist,finalist,false,War & Military,Penguin Random House,Vintage Books,9780375708152,https://en.wikipedia.org/wiki/Governor_General%27s_Award_for_English-language_non-fiction,secondary
appearance-leonardo-and-the-last-supper-ross-king-governor-general-s-literary-awards-english-language-non-fiction-2012-winner,book-leonardo-and-the-last-supper-ross-king,leonardo-and-the-last-supper-ross-king,Leonardo and The Last Supper,Ross King,2012,award-governor-general-s-literary-awards-english-language-non-fiction,Governor General's Literary Awards,English-language Non-fiction,2012,winner,winner,false,Arts & Criticism,Bloomsbury Publishing,Walker & Company,9780385666084,https://en.wikipedia.org/wiki/Governor_General%27s_Award_for_English-language_non-fiction,secondary
appearance-the-pursuit-of-perfection-a-life-of-celia-franca-carol-bishop-gwyn-governor-general-s-literary-awards-english-language-non-fiction-2012-finalist,book-the-pursuit-of-perfection-a-life-of-celia-franca-carol-bishop-gwyn,the-pursuit-of-perfection-a-life-of-celia-franca-carol-bishop-gwyn,The Pursuit of Perfection: A Life of Celia Franca,Carol Bishop-Gwyn,,award-governor-general-s-literary-awards-english-language-non-fiction,Governor General's Literary Awards,English-language Non-fiction,2012,finalist,finalist,false,Biography,,,,https://en.wikipedia.org/wiki/Governor_General%27s_Award_for_English-language_non-fiction,secondary
appearance-what-we-talk-about-when-we-talk-about-war-noah-richler-governor-general-s-literary-awards-english-language-non-fiction-2012-finalist,book-what-we-talk-about-when-we-talk-about-war-noah-richler,what-we-talk-about-when-we-talk-about-war-noah-richler,What We Talk About When We Talk About War,Noah Richler,,award-governor-general-s-literary-awards-english-language-non-fiction,Governor General's Literary Awards,English-language Non-fiction,2012,finalist,finalist,false,War & Military,,,,https://en.wikipedia.org/wiki/Governor_General%27s_Award_for_English-language_non-fiction,secondary
appearance-retirement-heist-how-companies-plunder-and-profit-from-the-nest-eggs-of-american-workers-ellen-s-helen-bernstein-book-award-for-excellence-in-journalism-2012-winner,book-retirement-heist-how-companies-plunder-and-profit-from-the-nest-eggs-of-american-workers-ellen-s,retirement-heist-how-companies-plunder-and-profit-from-the-nest-eggs-of-american-workers-ellen-s,Retirement Heist: How Companies Plunder and Profit from the Nest Eggs of American Workers,Ellen Schultz,2011,award-helen-bernstein-book-award-for-excellence-in-journalism,Helen Bernstein Book Award for Excellence in Journalism,Journalism,2012,winner,winner,false,Politics & Government,Penguin Random House,Portfolio,9781591843337,https://en.wikipedia.org/wiki/Helen_Bernstein_Book_Award_for_Excellence_in_Journalism,secondary
appearance-a-geography-of-blood-unearthing-memory-from-a-prairie-landscape-candace-savage-hilary-weston-writers-trust-prize-for-nonfiction-2012-winner,book-a-geography-of-blood-unearthing-memory-from-a-prairie-landscape-candace-savage,a-geography-of-blood-unearthing-memory-from-a-prairie-landscape-candace-savage,A Geography of Blood: Unearthing Memory from a Prairie Landscape,Candace Savage,,award-hilary-weston-writers-trust-prize-for-nonfiction,Hilary Weston Writers' Trust Prize for Nonfiction,Nonfiction,2012,winner,winner,false,Travel & Place,,,,https://en.wikipedia.org/wiki/Hilary_Weston_Writers%27_Trust_Prize_for_Nonfiction,secondary
appearance-intolerable-a-memoir-of-extremes-kamal-al-solaylee-hilary-weston-writers-trust-prize-for-nonfiction-2012-finalist,book-intolerable-a-memoir-of-extremes-kamal-al-solaylee,intolerable-a-memoir-of-extremes-kamal-al-solaylee,Intolerable: A Memoir of Extremes,Kamal Al-Solaylee,,award-hilary-weston-writers-trust-prize-for-nonfiction,Hilary Weston Writers' Trust Prize for Nonfiction,Nonfiction,2012,finalist,finalist,false,Memoir & Autobiography,,,,https://en.wikipedia.org/wiki/Hilary_Weston_Writers%27_Trust_Prize_for_Nonfiction,secondary
appearance-solar-dance-genius-forgery-and-the-crisis-of-truth-in-the-modern-age-modris-eksteins-hilary-weston-writers-trust-prize-for-nonfiction-2012-finalist,book-solar-dance-genius-forgery-and-the-crisis-of-truth-in-the-modern-age-modris-eksteins,solar-dance-genius-forgery-and-the-crisis-of-truth-in-the-modern-age-modris-eksteins,"Solar Dance: Genius, Forgery, and the Crisis of Truth in the Modern Age",Modris Eksteins,,award-hilary-weston-writers-trust-prize-for-nonfiction,Hilary Weston Writers' Trust Prize for Nonfiction,Nonfiction,2012,finalist,finalist,false,History,,,,https://en.wikipedia.org/wiki/Hilary_Weston_Writers%27_Trust_Prize_for_Nonfiction,secondary
